# population=    8000, childrens=0.260, adults=0.660, elders=0.090, childs=0.030, singles=0.300, infants=2.000,
# generation, childrens, adults, elders, population, sum_born, sum_dies
   1,     3695,     2017,     5280,    10992,      720,     3695
   2,     1411,     3584,     2017,     7012,     6000,     5106
   3,     2508,     1368,     3584,     7460,     8017,     7614
   4,      957,     2432,     1368,     4757,    11601,     8571
   5,     1702,      928,     2432,     5062,    12969,    10273
   6,      649,     1650,      928,     3227,    15401,    10922
   7,     1154,      629,     1650,     3433,    16329,    12076
   8,      439,     1119,      629,     2187,    17979,    12515
   9,      782,      425,     1119,     2326,    18608,    13297
  10,      296,      758,      425,     1479,    19727,    13593
  11,      530,      287,      758,     1575,    20152,    14123
  12,      200,      514,      287,     1001,    20910,    14323
  13,      359,      194,      514,     1067,    21197,    14682
  14,      135,      348,      194,      677,    21711,    14817
  15,      243,      130,      348,      721,    21905,    15060
  16,       90,      235,      130,      455,    22253,    15150
  17,      163,       87,      235,      485,    22383,    15313
  18,       60,      158,       87,      305,    22618,    15373
  19,      110,       58,      158,      326,    22705,    15483
  20,       40,      106,       58,      204,    22863,    15523
  21,       74,       38,      106,      218,    22921,    15597
  22,       26,       71,       38,      135,    23027,    15623
  23,       48,       25,       71,      144,    23065,    15671
  24,       16,       46,       25,       87,    23136,    15687
  25,       32,       15,       46,       93,    23161,    15719
  26,        9,       31,       15,       55,    23207,    15728
  27,       20,        8,       31,       59,    23222,    15748
  28,        5,       19,        8,       32,    23253,    15753
  29,       12,        4,       19,       35,    23261,    15765
  30,        2,       11,        4,       17,    23280,    15767
  31,        6,        1,       11,       18,    23284,    15773
  32,        0,        5,        1,        6,    23295,    15773
